Bus Park;Balaju;Banasthali;Dhungedhara;Sano Varyang;Thulo Varyang;Swoyambhu;Sitapaila;Kalanki
27.7326354007701;27.7274318896092;27.7252614142662;27.7236634143905;27.7209849272272;27.7199013191308;27.7159053932768;27.707739006209;27.6933495169095
85.3081606830893;85.3047059784894;85.298223354254;85.2944880524079;85.2891262965836;85.2867217254187;85.2835958907591;85.2825339337507;85.2815751264929
Kalimati;Kalanki;Khasi Bajar;;;;;;
27.6980884520223;27.6933495169095;27.6894715833635;;;;;;
85.2979668846099;85.2815751264929;85.2840802594804;;;;;;
Kalanki;Baba Petrol Pump;Gurjudhara;Chandagiri;;;;;
27.6933495169095;27.692433567473;27.6876836250757;27.6897490580821;;;;;
85.2815751264929;85.2786814728639;85.2421907397809;85.2225115410723;;;;;
Chandagiri;Baad;;;;;;;
27.6897490580821;27.704917218078;;;;;;;
85.2225115410723;85.2069273889935;;;;;;;
